zone_index,density_g_cm3,radius_cm,velocity_cm_microsec,pressure_megabars,internal_energy_1e12_erg_g,temperature_keV
    2,  6.871057E+00,  1.863723E+00,  0.000000E+00,  0.000000E+00,  4.734968E-03,  3.587180E-04
    3,  7.920000E+00,  2.795585E+00,  0.000000E+00,  0.000000E+00,  4.728984E-03,  3.582977E-04
    4,  7.920000E+00,  3.727446E+00,  0.000000E+00,  0.000000E+00,  4.712756E-03,  3.571573E-04
    5,  7.920000E+00,  4.659308E+00,  0.000000E+00,  0.000000E+00,  4.687889E-03,  3.554088E-04
    6,  7.920000E+00,  5.591169E+00,  0.000000E+00,  0.000000E+00,  4.656465E-03,  3.531975E-04
    7,  7.920000E+00,  6.523031E+00,  0.000000E+00,  0.000000E+00,  4.618493E-03,  3.505228E-04
    8,  7.920000E+00,  7.454892E+00,  0.000000E+00,  0.000000E+00,  4.574264E-03,  3.474037E-04
    9,  7.920000E+00,  8.386754E+00,  0.000000E+00,  0.000000E+00,  4.523951E-03,  3.438508E-04
   10,  7.920000E+00,  9.318615E+00,  0.000000E+00,  0.000000E+00,  4.467734E-03,  3.398747E-04
   11,  7.920000E+00,  1.025048E+01,  0.000000E+00,  0.000000E+00,  4.405800E-03,  3.354868E-04
   12,  7.920000E+00,  1.118234E+01,  0.000000E+00,  0.000000E+00,  4.338348E-03,  3.306990E-04
   13,  7.920000E+00,  1.211420E+01,  0.000000E+00,  0.000000E+00,  4.265589E-03,  3.255239E-04
   14,  7.920000E+00,  1.304606E+01,  0.000000E+00,  0.000000E+00,  4.187744E-03,  3.199749E-04
   15,  7.920000E+00,  1.397792E+01,  0.000000E+00,  0.000000E+00,  4.105048E-03,  3.140661E-04
   16,  7.920000E+00,  1.490978E+01,  0.000000E+00,  0.000000E+00,  4.017741E-03,  3.078121E-04
   17,  7.920000E+00,  1.584165E+01,  0.000000E+00,  0.000000E+00,  3.926073E-03,  3.012282E-04
   18,  7.920000E+00,  1.677351E+01,  0.000000E+00,  0.000000E+00,  3.830299E-03,  2.943302E-04
   19,  7.920000E+00,  1.770537E+01,  0.000000E+00,  0.000000E+00,  3.730677E-03,  2.871338E-04
   20,  7.920000E+00,  1.863723E+01,  0.000000E+00,  0.000000E+00,  3.627464E-03,  2.796551E-04
   21,  7.920000E+00,  1.956909E+01,  0.000000E+00,  0.000000E+00,  3.520913E-03,  2.719099E-04
   22,  7.920000E+00,  2.050095E+01,  0.000000E+00,  0.000000E+00,  3.411253E-03,  2.639123E-04
   23,  7.920000E+00,  2.143282E+01,  0.000000E+00,  0.000000E+00,  3.298570E-03,  2.556659E-04
   24,  7.920000E+00,  2.236468E+01,  0.000000E+00,  0.000000E+00,  3.182057E-03,  2.471089E-04
   25,  7.920000E+00,  2.329654E+01,  0.000000E+00,  0.000000E+00,  3.055627E-03,  2.377881E-04
   26,  1.583000E+01,  2.422840E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   27,  1.583000E+01,  2.516026E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   28,  1.583000E+01,  2.609212E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   29,  1.583000E+01,  2.702398E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   30,  1.583000E+01,  2.795585E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   31,  1.583000E+01,  2.972148E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   32,  1.583000E+01,  3.148711E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   33,  1.583000E+01,  3.325274E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   34,  1.583000E+01,  3.501838E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   35,  1.583000E+01,  3.678401E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   36,  1.583000E+01,  3.854964E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   37,  1.583000E+01,  4.031527E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   38,  1.583000E+01,  4.208091E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
   39,  1.583000E+01,  4.384654E+01,  0.000000E+00,  0.000000E+00,  6.153750E-04,  5.000000E-05
